Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Home_Loan_Ratio,Loan_Status
Graduate,No,6589.904576069933,2613.7708557899086,89.71096718464247,360,1,Semiurban,101.46155109476156,1
Not Graduate,No,5925.508924365046,2375.455857627253,127.73128408571348,180,1,Rural,64.4828865100518,0
Graduate,No,6025.353984800717,2167.5701058009904,167.15045035523056,300,0,Rural,48.72377132082332,0
Graduate,No,2951.0664331991984,3162.259597505667,180.81854382748907,180,0,Rural,33.62322622331218,0
Graduate,Yes,6817.915978079601,1460.4087792628684,237.73798201153542,360,1,Urban,34.67535700683972,1
Not Graduate,Yes,5391.875796850784,2894.9105560268254,188.22815884455468,180,1,Semiurban,43.79256450772192,1
Graduate,No,4446.084291130695,367.98511497358265,147.7284561645489,300,0,Rural,32.3681797703738,0
Graduate,Yes,5215.082701013376,1095.0521670619337,114.38256988229355,360,1,Urban,54.68880502932579,1
Graduate,No,2335.64715065252,192.95860506818374,127.42840589123924,180,0,Rural,19.688835489105706,0
Not Graduate,Yes,5612.979217221006,1725.1546993302077,126.29188708171574,180,0,Urban,57.648088065820396,1
Graduate,No,3455.9427377268926,1953.7387827336574,176.20934514055043,240,0,Semiurban,30.52706682127829,0
Graduate,No,2970.9945712346985,2114.10149222652,160.27989782343323,180,1,Semiurban,31.529633463857373,0
Graduate,Yes,2716.461220673163,2061.883352887135,97.05401716631285,240,0,Semiurban,48.73175736854902,0
Graduate,Yes,6669.032562484887,1072.446669188272,132.56394123638268,300,1,Semiurban,57.960847516263534,1
Not Graduate,No,4056.104909460817,1809.7591555867843,185.10190213805683,240,0,Rural,31.51963519801157,0
Graduate,No,7300.591564874749,502.5533313942514,164.06649419896237,300,1,Urban,47.27273656677717,1
Not Graduate,Yes,4196.297805421554,3363.2289751322505,172.7457846405108,180,1,Semiurban,43.50912337928004,1
Not Graduate,Yes,2438.96306361058,1696.373927101999,165.3168684022905,180,0,Rural,24.864206682330888,0
Not Graduate,No,3325.2133400770113,1511.1138809563088,215.05722938435437,240,0,Semiurban,22.384473015849657,0
Graduate,Yes,6853.717430010408,3588.9403284440828,159.4417225529748,300,0,Semiurban,65.08692123401083,1
Not Graduate,No,4766.152733094998,757.7534664507706,134.55908808517208,180,1,Semiurban,40.74906579539017,0
Graduate,No,4177.569055264099,874.4128859680309,113.36979835465758,240,1,Urban,44.17234282048897,0
Not Graduate,No,5240.027338779181,903.7796751314348,159.9843783283885,240,1,Urban,38.16399502675967,1
Not Graduate,No,5752.674104251318,1932.1286183005182,52.37183940899662,240,0,Urban,143.98609468304082,0
Not Graduate,Yes,6676.098223853691,2431.631629637597,142.62843992669153,180,0,Semiurban,63.41174392856948,1
Not Graduate,Yes,7172.748844839389,2739.6754681178336,141.76640560314624,300,0,Rural,69.43107008319032,1
Not Graduate,Yes,4460.347031316372,4571.995317494969,95.42116585530876,180,0,Rural,93.67592964355386,1
Not Graduate,Yes,3010.9284708769424,-249.43245420076377,112.86936645376016,360,0,Rural,24.251439194557747,0
Not Graduate,Yes,4379.802258315086,2608.735589124417,182.38630120592964,360,1,Semiurban,38.10828726837059,1
Not Graduate,Yes,5390.42075987433,1442.8694274277689,159.2284699629985,180,0,Urban,42.64716619262549,1
Graduate,Yes,3554.3616106840836,1413.5848511112265,154.0715333482931,300,1,Rural,32.03648248345636,0
Graduate,No,3564.2736276574356,1380.2278717461224,162.2539013572809,240,0,Semiurban,30.287187370686624,0
Not Graduate,Yes,5515.681822324828,1091.2303291920266,153.70510351795693,360,0,Semiurban,42.70649126161489,1
Not Graduate,Yes,4927.021472644324,3684.524834603452,199.7145025143326,360,0,Rural,42.904454831971314,1
Not Graduate,No,5049.19549311738,2842.2973270139028,154.93716726814594,180,0,Rural,50.60687556649823,0
Graduate,Yes,3862.256997949896,2023.195978557375,91.67147544724999,360,0,Semiurban,63.508786798774565,0
Not Graduate,Yes,4654.398928691349,3351.0157524870006,215.20519859497642,360,1,Rural,37.02692966312586,1
Graduate,No,3613.6502835975434,487.4710347011244,164.81361069315383,240,0,Semiurban,24.73332135495193,0
Graduate,Yes,6335.29761668718,669.2948686690738,126.4298507681973,240,1,Rural,54.96822324698501,0
Graduate,Yes,6552.8740020856285,-177.96773219468776,99.86393126819925,300,1,Urban,63.20303194349955,1
Graduate,Yes,2230.718206642859,1300.5854598767125,165.83656883832182,360,1,Semiurban,21.166244853319245,1
Graduate,No,3605.733709711385,2161.698526704753,145.31311980102498,300,1,Urban,39.41842156232756,0
Not Graduate,Yes,2755.2061173648813,2102.858577932334,212.96587144129634,300,0,Rural,22.704857847528608,0
Not Graduate,Yes,4024.9640983896525,2149.3419110598807,136.16370877332687,240,0,Semiurban,45.014137228186414,1
Not Graduate,No,4874.843045314458,588.9431689339182,116.50476841270132,240,0,Rural,46.498421196477885,0
Not Graduate,Yes,2825.532170452205,2803.154742614022,185.83184872943713,180,0,Semiurban,30.127020373370495,1
Not Graduate,No,3617.2102803120306,2239.627518238998,187.01127570867325,240,0,Rural,31.1515241651054,0
Graduate,No,3494.0639418777528,2733.0542814659984,156.7460547044078,300,1,Urban,39.47558774140137,0
Not Graduate,Yes,5310.900994098416,107.23782240994817,177.05428190699632,360,0,Urban,30.429702439497852,1
Not Graduate,No,5104.016505554376,2311.4908587977898,148.4925151703105,300,0,Rural,49.60453943733565,0
Graduate,No,3917.39366999412,812.234760082473,159.35460404036988,300,1,Urban,29.494809072559534,0
